id,Cid,title,hits,time
1,1,2023학년도 1학기 신규 학생증 발급 중단 안내(2023.06.15~2023.08.09),조회 7,2023.05.31.
2,1,(예비군연대) 2023년 6월 각 군 현역병  모집계획 안내,조회 441,2023.05.26.
3,1,2023 세계스카우트잼버리 영외과정활동 「사찰문화체험」 통역 자원봉사자 모집,조회 396,2023.05.26.
4,1,「대학생 테마별 톡톡 멘토링」 참여 동아리 추가모집,조회 398,2023.05.25.
5,1,「2023년 국가간 청소년교류」 및 「글로벌 청소년 서밋」청소년 참가자 모집,조회 398,2023.05.25.
6,1,[강남열린대학] 인문학특강 개최 홍보,조회 217,2023.05.24.
7,1,더 안전한 경기도 영상콘텐츠 공모,조회 118,2023.05.24.
8,1,[참사람사회공헌센터] 한국장학재단 제27기 하계 대학생 재능봉사캠프 모집 안내,조회 674,2023.05.24.
9,1,[장애학생지원센터]장애인식개선교육 수강 안내(필수),조회 277,2023.05.23.
10,1,[모두의 연구소] 2023년 AI학교 아이펠 5기 입학생 모집(~6/9),조회 360,2023.05.23.
11,1,2023년 여름방학 대학생 교육기부 프로그램 쏙쏙캠프 참여 동아리 모집,조회 499,2023.05.22.
12,1,[교수학습혁신센터] 2023-2 혁신교수법 적용 교과목 모집 공고,조회 241,2023.05.22.
13,1,[참사람사회공헌센터] 2023 여름학기 사회봉사교과목 수강신청 안내,조회 498,2023.05.19.
14,1,동국대학교 장학 홍보대사 단체명 공모전,조회 1377,2023.05.18.
15,1,[외교부] 2024-25년 대한민국 유엔 안보리 진출 제2대 청년사절 접수,조회 588,2023.05.18.
16,1,2023 어디서든 예술치유 힐링 씨어터,조회 254,2023.05.18.
17,1,장수군 대표상징물(CI) 디자인 공모전,조회 141,2023.05.18.
18,1,올담 데이터 활용 시각화 경진대회,조회 177,2023.05.18.
19,1,그린캠퍼스(게시물 관리) 시행 안내,조회 255,2023.05.18.
20,1,[5대 핵심역량 함양 프로그램] 이제호 인권 변호사와 함께하는 문화의 다양성과 존중,조회 212,2023.05.18.
41,1,2023 날씨 빅데이터 콘테스트,조회 326,2023.05.17.
42,1,기록을 바라보는 여섯 개의 시선,조회 290,2023.05.17.
43,1,제3회 해양경찰 데이터 활용 아이디어 공모전,조회 129,2023.05.17.
44,1,2023년 청년인생설계학교 2기 참여자 모집,조회 159,2023.05.17.
45,1,2023 사이버공격방어대회 참가 안내,조회 133,2023.05.17.
46,1,웹툰 창작자 발굴 및 육성을 위한 제2회 모든 웹툰 공모전,조회 80,2023.05.17.
47,1,2023년 산림공공 빅데이터 창업경진대회,조회 89,2023.05.17.
48,1,제12회 중남미 논문공모전 홍보,조회 55,2023.05.17.
49,1,2023년 「경기도 청년 노동자 통장」 참여자 모집 안내,조회 115,2023.05.17.
50,1,[5대 핵심역량 함양 프로그램] 오세훈 서울시장의 동국대 특강,조회 1021,2023.05.16.
51,1,금융감독원 제 11기 대학생 금융교육 봉사단 모집,조회 524,2023.05.16.
52,1,마약류 이용 성범죄 근절 홍보 콘텐츠 공모전,조회 278,2023.05.15.
53,1,2023년 사회정책 아이디어 공모전 개최,조회 287,2023.05.15.
54,1,써라운드 성동-누구나 누리는 기술+문화 홍보,조회 179,2023.05.15.
55,1,2023 미지맵 콘텐츠 크리에이터 모집,조회 178,2023.05.15.
56,1,2023년 통계데이터 활용대회 안내,조회 297,2023.05.15.
57,1,2023 전국 대학생 “남북교류협력 창업 아이디어 경진대회” 참가 안내,조회 129,2023.05.15.
58,1,[T-Table] COSMAX 현직자 강연에 참여해보자 !!,조회 316,2023.05.15.
59,1,"[창업교육센터] 스마트스토어 창업실전 프로그램 '나도 N잡러' 수강생 모집 (~6/9, 선착순)",조회 369,2023.05.15.
60,1,BMC 천원의 아침밥 개시 및 서울캠퍼스 식수 인원 변경 안내,조회 742,2023.05.12.
61,1,[정각원] 불기 2567년 하안거 결계신청 및 포살법회 시행 안내,조회 321,2023.05.11.
62,1,(접수 조기마감) 5. 25. 또는 31.  예비군 훈련일 변경 희망자 추가 접수,조회 489,2023.05.11.
63,1,서울시립영등포장애인복지관 전체이용자나들이 자원봉사자 모집,조회 210,2023.05.11.
64,1,2023년 국립청소년인터넷드림마을 10기 멘토 모집,조회 302,2023.05.11.
65,1,동국대 알리미 5기 모집,조회 505,2023.05.10.
